"discover des smart chk"	"Discover"	"Bills:Credit Card Payment"
"discover direct pay"	"Discover"	"Bills:Credit Card Payment"
"discover phone pay"	"Discover"	"Bills:Credit Card Payment"
"discover smart chk"	"Discover"	"Bills:Credit Card Payment"
"discovery channel"	"Discovery channel"	"Leisure:Movies and Video Rentals"
"discovery clothing"	"Discovery clothing"	"Clothing"
"discovery toys"	"Discovery Toys"	"Leisure:Toys and Games"
"dish network"	"Dish network"	"Bills:Cable Television"
"dishnetwork"	"Dish network"	"Bills:Cable Television"
"dollar r a c"	"Dollar rent a car"	"Vacation:Travel"
"dollar rent a car"	"Dollar rent a car"	"Vacation:Travel"
"dominick s"	"Dominick's"	"Food:Groceries"
"dominicks stor"	"Dominick's"	"Food:Groceries"
"domino s pizza"	"Domino's pizza"	"Food:Dining out"
"dominos pizza"	"Domino's pizza"	"Food:Dining out"
"don pablo s"	"Don Pablo's"	"Food:Dining out"
"doubletree hotels"	"Doubletree hotels"	"Vacation:Lodging"
"dress barn"	"Dress barn"	"Clothing"
"drugstore com"	"drugstore.com"	"Healthcare"
"dtv directv"	"DirecTV"	"Bills:Cable Television"
"duane reade"	"DUANE reade"	"Personal Care"
"earthlink"	"Earthlink"	"Bills:Internet Service"
"ebay"	"Ebay"	"Household"
"eckerd drug"	"Eckerd"	"Healthcare"
"eckerd"	"Eckerd"	"Healthcare"
"econo lube"	"Econo Lube N' Tune"	"Automobile"
"econofoods"	"EconoFoods"	"Food:Groceries"
"eddie bauer"	"Eddie Bauer"	"Clothing"
"einstein bros bagels"	"Einstein Bros Bagels"	"Food:Dining out"
"einstein noah bgl"	"Einstein noah"	"Food:Dining out"
"el chico"	"El Chico"	"Food:Dining out"
"elects boutique"	"elects boutique"	"Personal Care"
"embassy suites"	"Embassy Suites"	"Vacation:Lodging"
"enterprise r a c"	"Enterprise"	"Vacation:Travel"
"enterprise rentacar"	"Enterprise"	"Vacation:Travel"
"equifax credit"	"Equifax credit"	"Miscellaneous"
"express pharmacy"	"Pharmacy Express"	"Healthcare"
"express scripts"	"Express Scripts"	"Healthcare"
"expressly portraits"	"Expressly portraits"	"Leisure:Photography"
"exxon"	"Exxon"	"Automobile:Gasoline"
"exxonmobil"	"Exxon"	"Automobile:Gasoline"
"fairfield inn"	"Fairfield Inn"	"Vacation:Lodging"
"family bookstores"	"Family bookstores"	"Leisure:Books and Magazines"
"famous barr"	"Famous-Barr"	"Clothing"
"famous dave s"	"Famous Dave's"	"Food:Dining out"
"famous daves"	"Famous Dave's"	"Food:Dining out"
"famous footwear"	"Famous Footwear"	"Clothing"
"fantastic sam s"	"Fantastic Sams"	"Personal Care"
"fantastic sams"	"Fantastic Sams"	"Personal Care"
"farm fresh"	"Farm Fresh"	"Food:Groceries"
